Counterpoint	1967	James Lee	1923	2002
Wu ye li ren	1986	John Au	"\N"	"\N"
Signed, Sealed, Delivered Signed Sealed Delivered	2013	Brandi Harkonen	"\N"	"\N"
Chinese Roulette	1976	Rainer Werner Fassbinder	1945	1982
Cut and Run	1984	Cesare Frugoni	"\N"	"\N"
Life Is Beautiful	1997	Roberto Benigni	1952	"\N"
Ironclad	2011	Jonathan English	"\N"	"\N"
When a Wolf Falls in Love with a Sheep	2012	Kelly Yuan-Ling Yang	"\N"	"\N"
Minutes to Midnight	2018	Christopher M. Don	1987	"\N"
The Game of Their Lives	2005	Geoffrey Douglas	"\N"	"\N"
Sarah Cooper: Everything's Fine	2020	Jordan Black	1970	"\N"
Delirium	2018	Andy Cheng	"\N"	"\N"
China Salesman	2017	Sholom Gelt	"\N"	"\N"
Lilith	2018	Richard J. Aguirre	"\N"	"\N"
Lilith	2018	Paul McFall	"\N"	"\N"
Courage fuyons	1979	Jean-Loup Dabadie	1938	2020
Star Trek IV: The Voyage Home	1986	Gene Roddenberry	1921	1991
The Wave	2008	Ron Birnbach	"\N"	"\N"
Soorma	2018	Adhir Bhat	"\N"	"\N"
The Hows of Us	2018	Crystal S. San Miguel	"\N"	"\N"
Fru00e5n och med herr Gunnar Papphammar	1981	Gösta Ekman	1939	2017
84 Charing Cross Road	1987	Helene Hanff	1916	1997
High Risk	1995	Domonic Muir	1962	2010
Hitman	1998	Domonic Muir	1962	2010
Danny Boy	2021	Robert Jones	"\N"	"\N"
Dywizjon 303	2018	Jacek Samojlowicz	1956	"\N"
Home from the Hill	1960	Irving Ravetch	1920	2010
Up to His Ears	1965	Daniel Boulanger	1922	2014
Ladies Room	1999	Andrée Pelletier	1950	"\N"
Superman: Unbound	2013	Bob Goodman	"\N"	"\N"
Night Nurse	1931	Charles Kenyon	1880	1961
Punishment Island	1966	Taijun Takeda	1912	1976
Sex Thief	1973	Michael Armstrong	1944	"\N"
Dead End Drive-In	1986	Peter Smalley	"\N"	"\N"
Twister's Revenge!	1988	Bill Rebane	1937	"\N"
A Birder's Guide to Everything	2013	Rob Meyer	"\N"	"\N"
Deadly Code	2013	Sandro Petraglia	1947	"\N"
Forsaken	2018	Alexey A. Petrukhin	1973	"\N"
Christmas at Rosemont	2015	Bill Rebane	1937	"\N"
Beyond the Sky	2018	Rob Warren Thomas	"\N"	"\N"
Return to the Wild: The Chris McCandless Story	2014	Karl Dawson	"\N"	"\N"
The Colony	2021	Mariko Minoguchi	1988	"\N"
Cimarron	1960	Arnold Schulman	1925	2023
Take It Out in Trade: The Outtakes	1995	Edward D. Wood Jr.	1924	1978
Riff-Raff	1991	Bill Jesse	1942	1990
The Game	1997	Michael Ferris	1961	"\N"
Girlfriends Reunited	2020	Crystal Harris	"\N"	"\N"
Bruh.mp4	2020	Andrew Burdette	"\N"	"\N"
In the Beginning	2009	Xavier Giannoli	1970	"\N"
Yu-Gi-Oh!: The Dark Side of Dimensions	2016	Satoshi Kuwabara	"\N"	"\N"
Dancing Pirate	1936	Jack Wagner	1891	1963
The Graduate	1967	Buck Henry	1930	2020
The Stunt Woman	1996	Kin Chung Chan	"\N"	"\N"
A Guy Thing	2003	Matt Tarses	"\N"	"\N"
Unknown	2011	Oliver Butcher	"\N"	"\N"
Forsaken	2018	Alexander Kulikov	1965	2016
Among Thieves	2019	K.C. Schrimpl	"\N"	"\N"
Unknown Origins	2020	David Galán Galindo	"\N"	"\N"
Nature of Love	2020	Barbara Kymlicka	"\N"	"\N"
Amityville: Mt. Misery Rd.	2018	Chuck Morrongiello	"\N"	"\N"
Paris Frills	1945	Jacques Becker	1906	1960
Nowhere to Run	1993	Randy Feldman	"\N"	"\N"
Bliss	1997	Lance Young	"\N"	"\N"
Disappearing Acts	2000	Terry McMillan	1951	"\N"
A Timeless Christmas	2020	Alexis Stanton	"\N"	"\N"
MacGruber	2010	John Solomon	1970	"\N"
Black	2005	Sanjay Leela Bhansali	1963	"\N"
Burning Ghost	2019	Frédéric Videau	1964	"\N"
Calm Like a Bomb	2021	Mauro Russo Rouge	"\N"	"\N"
The Numbers Station	2013	F. Scott Frazier	"\N"	"\N"
Ace Wonder: Message from a Dead Man	2014	John Robert Moore	"\N"	"\N"
Man Camp	2019	Scott Kruse	"\N"	"\N"
Fukushima 50	2020	Yoichi Maekawa	"\N"	"\N"
First Blood	1982	Michael Kozoll	"\N"	"\N"
Rush	1991	Peter Dexter	1943	"\N"
Gladiator	1992	Lyle Kessler	"\N"	"\N"
Caught in His Web	2022	Danielle Iman	"\N"	"\N"
Delirium	2018	Francisco Castro	"\N"	"\N"
Southern Wind	2014	Mika Ogita	"\N"	"\N"
A Very Murray Christmas	2015	Sofia Coppola	1971	"\N"
15 Minutes of War	2019	Fred Grivois	"\N"	"\N"
Doctor Dolittle	1967	Leslie Bricusse	1931	2021
Electric Dreams	1984	Rusty Lemorande	"\N"	"\N"
Journey to the Center of the Earth	1988	Rusty Lemorande	"\N"	"\N"
This Is England	2006	Shane Meadows	1972	"\N"
Arranged	2007	Yuta Silverman	"\N"	"\N"
Homeroom	2021	Kristina Motwani	"\N"	"\N"
Better Start Running	2018	Chad Faust	1980	"\N"
The Confessions	2016	Roberto Andò	1959	"\N"
Breathe	2017	William Nicholson	1948	"\N"
Prey, in Cold Blood	2016	Anthony Werley	"\N"	"\N"
Vox Lux	2018	Mona Fastvold	1986	"\N"
Lilith	2018	Anthony Werley	"\N"	"\N"
Trouble Brewing	1939	Angus MacPhail	1903	1962
The Angry Red Planet	1959	Sidney W. Pink	1916	2002
Seeding of a Ghost	1983	Yee-Hung Lam	"\N"	"\N"
1492: Conquest of Paradise	1992	Rose Bosch	"\N"	"\N"
3 Times a Charm	2011	Michael Matteo	"\N"	"\N"
Blindsided	2018	Brad Wetherly	"\N"	"\N"
Purge of Kingdoms	2019	J.J. McDowell	"\N"	"\N"
Drums Along the Mohawk	1939	Sonya Levien	1888	1960
The Hunchback of Notre Dame	1939	Sonya Levien	1888	1960
Valley of the Zombies	1946	Royal K. Cole	1907	1993
Twist of Fate	1954	Carl Nystrom	1910	1979
I Love Maria	1988	Kai-Chi Yuen	"\N"	"\N"
Mid-Century	2022	Mike Stern	"\N"	"\N"
Driven to Dance	2018	Tati Elsher	"\N"	"\N"
Bells Are Ringing	1960	Adolph Green	1914	2002
The Devil, Probably	1977	Robert Bresson	1901	1999
Big Trouble in Little China	1986	Gary Goldman	1953	"\N"
When He Didn't Come Home	1998	John Miglis	"\N"	"\N"
The Express	2008	Charles Leavitt	"\N"	"\N"
Isolation	2021	Adam R. Brown	"\N"	"\N"
Hell Bank Presents: Running Ghost	2020	Bi Szeto	"\N"	"\N"
I'd Kill for You	2018	Monika Lynn Wesley	"\N"	"\N"
An Uncommon Grace	2017	Serena B. Miller	"\N"	"\N"
Beyond Rangoon	1995	Alex Lasker	"\N"	"\N"
Coming Down the Mountain	2007	Mark Haddon	1962	"\N"
The Congress	2013	Stanislaw Lem	1921	2006
Diablo. The race for everything	2019	Daniel Markowicz	1974	"\N"
I Confess	1953	William Archibald	1917	1970
Once Bitten	1985	Dimitri Villard	"\N"	"\N"
A Place for Annie	1994	Cathleen Young	"\N"	"\N"
La cebra	2011	Fernando Javier León Rodríguez	"\N"	"\N"
The Queen of Spades	2016	Aleksandr Lungin	1971	"\N"
The Gunman	2015	Pete Travis	"\N"	"\N"
Cam Girl	2014	Angelica Gallo	1990	"\N"
A Stand Up Guy	2016	Mike Young	"\N"	"\N"
Sweater Girls	1978	Neva Friedenn	"\N"	"\N"
The Devil and Holy Water	1983	Bruno Corbucci	1931	1996
Madam Q	1996	San-Feng Chang	"\N"	"\N"
Today You Die	2005	Danny Lerner	1952	2015
Battlestar Galactica: Razor	2007	Glen A. Larson	1937	2014
One December Night	2021	Eric Brooks	"\N"	"\N"
The Substance: Albert Hofmann's LSD	2011	Martin Witz	"\N"	"\N"
Alice in Marialand	2014	Fernando del Razo	"\N"	"\N"
7 Letters	2015	Ivan Ho	"\N"	"\N"
Dywizjon 303	2018	Chris Burdza	"\N"	"\N"
Monster Family	2017	Benedikt Niemann	1969	"\N"
The Angry Guest	1972	Kuang Ni	1935	2022
The Kung Fu Instructor	1979	Kuang Ni	1935	2022
Backbeat	1994	Michael Thomas	"\N"	"\N"
The Ten	2007	Ken Marino	1968	"\N"
The Devil's Double	2011	Michael Thomas	"\N"	"\N"
Super Monsters Super Monsters : The New Class	0	Noelle Wright	"\N"	"\N"
Head Over Heels	2010	Paulo Cursino	"\N"	"\N"
Hell and Back	2015	Tom Gianas	"\N"	"\N"
Project 'Gemini'	2022	Dmitriy Zhigalov	"\N"	"\N"
Vox Lux	2018	Brady Corbet	1988	"\N"
One Nation, One King	2018	Pierre Schoeller	1961	"\N"
City Hunter	2018	Julien Arruti	1978	"\N"
Candleshoe	1977	Michael Innes	1906	1994
Snake Eater	1989	Michael Paseornek	"\N"	"\N"
Untraceable	2008	Mark Brinker	"\N"	"\N"
Snow Buddies	2008	Anna McRoberts	"\N"	"\N"
Treasure Buddies	2012	Anna McRoberts	"\N"	"\N"
Wish Man	2019	Theo Davies	"\N"	"\N"
Charming Christmas	2015	Rosalind Noonan	"\N"	"\N"
Grandma's House	2016	Kimberley T. Curtis	"\N"	"\N"
Wrestle	2018	Lauren Belfer	"\N"	"\N"
Piranhas	2019	Maurizio Braucci	1966	"\N"
Jam	2018	Sabu	1964	"\N"
The Dunwich Horror	1970	Curtis Hanson	1945	2016
Redneck	1973	Win Wells	1935	1983
The Tin Drum	1979	Volker Schlöndorff	1939	"\N"
Gone Fishin'	1997	Jill Mazursky	1965	"\N"
The Undeserved	2004	Brad Coley	"\N"	"\N"
Evoscarion: 2.0 You Can (Not) Advance	2009	Hideaki Anno	1960	"\N"
Spectre	2015	Jez Butterworth	1969	"\N"
The Talent	2013	Quang Huy	1980	"\N"
Contract to Kill	2016	Keoni Waxman	1968	"\N"
Night Comes On	2018	Jordana Spiro	1977	"\N"
For Me and My Gal	1942	Howard Emmett Rogers	1890	1971
An American in Paris	1951	Alan Jay Lerner	1918	1986
Camelot	1967	Alan Jay Lerner	1918	1986
Airport	1970	Arthur Hailey	1920	2004
Twice a Woman	1979	Harry Mulisch	1927	2010
Shipwrecked	1990	Bob Foss	"\N"	"\N"
Joan the Maid 2: The Prisons	1994	Christine Laurent	1944	2023
Nowhere to Run	1993	Richard Marquand	1937	1987
Female Prisoner #701: Scorpion	1972	Hirô Matsuda	1933	2022
Out Live	2000	Young-jun Kim	1968	"\N"
Mission London	2010	Alek Popov	"\N"	"\N"
Mookuthi Amman	2020	Amar Babaria	"\N"	"\N"
Hauling	2010	Sean Walsh	1970	"\N"
Christmas Manger	2017	Andrea Gyertson Nasfell	"\N"	"\N"
Night Nurse	1931	Oliver H.P. Garrett	1894	1952
Victoria the Great	1937	Miles Malleson	1888	1969
The Further Adventures of the Wilderness Family	1978	Arthur R. Dubs	1930	2013
Double Trouble	1992	Charles Osburn	"\N"	"\N"
Magellan	2017	Scott Baird	"\N"	"\N"
Hocus Pocus	1993	David Kirschner	1955	"\N"
OSS 117: Lost in Rio	2009	Jean-François Halin	1961	"\N"
My Best Friend's Bouquet	2020	Hilary Galanoy	"\N"	"\N"
Victor Crowley	2017	Adam Green	1975	"\N"
Wrestle	2018	Steven Klein	1975	"\N"
The Best Years of Our Lives	1946	MacKinlay Kantor	1904	1977
They Might Be Giants	1971	James Goldman	1927	1998
Wanda Nevada	1979	Dennis Hackin	"\N"	"\N"
Tortoise in Love	2012	Guy Browning	"\N"	"\N"
Te presento a Laura	2010	Martha Higareda	"\N"	"\N"
The Mad Whale	2017	Paul Rufus Jones	"\N"	"\N"
2nd Date Sex	2019	Rachel Hirons	"\N"	"\N"
Space	2020	Cooper Holmes	"\N"	"\N"
Glory at Sea	1952	William Fairchild	1918	2000
Gone Fishin'	1997	J.J. Abrams	1966	"\N"
A Sound of Thunder	2005	Gregory Poirier	1961	"\N"
Rise and Shine, Benedict Stone	2021	Phaedra Patrick	"\N"	"\N"
Zeroville	2019	Steve Erickson	"\N"	"\N"
Black November	2012	Jeta Amata	"\N"	"\N"
Innocent Curse	2017	Takashi Shimizu	1972	"\N"
Cutterhead	2018	Mikkel Bak Sørensen	"\N"	"\N"
Eat Brains Love	2019	Mike Herro	"\N"	"\N"
Counterpoint	1967	Alan Sillitoe	1928	2010
The Lovers on the Bridge	1991	Leos Carax	1960	"\N"
Underworld: Rise of the Lycans	2009	Dirk Blackman	"\N"	"\N"
The Gunman	2015	Don MacPherson	1954	"\N"
Juarez 2045	2017	Chris Le	1988	"\N"
7 Letters	2015	Eric Khoo	1965	"\N"
The Brink	2017	Melvin Li	"\N"	"\N"
Young and Innocent	1937	Anthony Armstrong	1897	1976
The Fast Lady	1962	Jack Davies	1913	1994
Here Is Your Life	1966	Bengt Forslund	1932	"\N"
Breakout	1975	Elliott Baker	1922	2007
The Game	1997	John Brancato	1958	"\N"
Sensitive New Age Killer	2000	Mark Savage	1962	"\N"
Arranged	2007	Stefan C. Schaefer	"\N"	"\N"
Miracle Fishing: Kidnapped Abroad	2020	Miles Hargrove	1972	"\N"
Finding Jesus	2020	Jason Wright	"\N"	"\N"
For the Love of Mary	1948	Oscar Brodney	1907	2008
Street Law	1974	Massimo De Rita	1935	2013
The Express	2008	Robert Gallagher	"\N"	"\N"
Beauty and the Beast	2014	Jeanne-Marie Leprince de Beaumont	1711	1780
The Infinity Project	2018	Michael Fredianelli	1980	"\N"
The Small One	1978	Charles Tazewell	1900	1972
Psycho IV: The Beginning	1990	Robert Bloch	1917	1994
Danger: Diabolik	1968	Adriano Baracco	1907	1976
Tourist Trap	1979	David Schmoeller	1947	"\N"
Scuola di ladri	1986	Franco Castellano	1925	1999
Underworld: Rise of the Lycans	2009	Danny McBride	"\N"	"\N"
Shadows on the Wall	2015	Ben Carland	"\N"	"\N"
Hollow Point	2019	Evan Law	1981	"\N"
Society	1989	Rick Fry	"\N"	"\N"
Endless Love	2014	Scott Spencer	1945	"\N"
Almost Home	2018	Erik Jensen	1970	"\N"
Philadelphia	1993	Ron Nyswaner	1956	"\N"
Chill Factor	1999	Mike Cheda	"\N"	"\N"
ATM	2012	Chris Sparling	1977	"\N"
Why Stop Now?	2012	Ron Nyswaner	1956	"\N"
Mr. Nice	2010	Bernard Rose	1960	"\N"
Zookeeper	2011	Jay Scherick	"\N"	"\N"
Baahubali 2: The Conclusion	2017	C.H. Vijay Kumar	"\N"	"\N"
Little Lord Fauntleroy	1936	Hugh Walpole	1884	1941
Murders in the Rue Morgue	1971	Henry Slesar	1927	2002
Circumstances 2: The Chase	2020	Ramon Sloan	"\N"	"\N"
Playdate	2013	Melissa Samuels	"\N"	"\N"
Paris Does Strange Things	1956	Jean Serge	1916	1998
A Sunday in the Country	1984	Pierre Bost	1901	1975
I Love It from Behind!	1981	Kazuhiko Ban	"\N"	"\N"
The Accidental Husband	2008	Bonnie Sikowitz	1969	"\N"
Mardi Gras: Spring Break	2011	Josh Heald	1977	"\N"
No Escapes	2020	Alexey Nuzhny	"\N"	"\N"
Baahubali 2: The Conclusion	2017	Vijayendra Prasad	1942	"\N"
Saaho	2019	Hussain Dalal	1989	"\N"
The Wedding Party	1969	Cynthia Munroe	"\N"	"\N"
Sleeping Dogs	1977	Arthur Baysting	1947	2019
The Forsaken	2001	J.S. Cardone	1946	"\N"
Mickey, Donald, Goofy: The Three Musketeers	2004	David Mickey Evans	1962	"\N"
The Covenant	2006	J.S. Cardone	1946	"\N"
R.I.P.D.	2013	Phil Hay	"\N"	"\N"
Los Hijos de San Luis	2020	Álex López	1986	"\N"
Hell Bank Presents: Running Ghost	2020	Nate Ki	"\N"	"\N"
Soorma	2018	Shaad Ali	1970	"\N"
The Terror	1963	Jack Hill	1933	"\N"
Boeing, Boeing	1965	Edward Anhalt	1914	2000
Neha	1991	Martin Sulík	1962	"\N"
Ladies Room	1999	Natalina Di Leandro	"\N"	"\N"
The Devil's Double	2011	Latif Yahia	"\N"	"\N"
My Best Friend's Bouquet	2020	Brittni Brown	"\N"	"\N"
And Soon the Darkness	2010	Marcos Efron	"\N"	"\N"
Shark Night	2011	Jesse Studenberg	"\N"	"\N"
Quarantine L.A.	2013	Filip Maciejewicz	"\N"	"\N"
Papusza	2013	Krzysztof Krauze	1953	2014
Trailer Park Boys: Don't Legalize It	2014	Mike O'Neill	"\N"	"\N"
Captive	2015	Stacy Mattingly	"\N"	"\N"
Samurai Cop 2: Deadly Vengeance	2015	Rich Mallery	"\N"	"\N"
Wait Until Dark	1967	Robert Carrington	1928	"\N"
Twice a Woman	1979	Jurriën Rood	1955	"\N"
Sexmission	1984	Juliusz Machulski	1955	"\N"
House II: The Second Story	1987	Fred Dekker	1959	"\N"
King Size	1988	Juliusz Machulski	1955	"\N"
Beauty and the Bastard	2005	Pekko Pesonen	"\N"	"\N"
The Exorcism of God	2021	Alejandro Hidalgo	"\N"	"\N"
Chuck Lawson and the Night of the Invaders	2020	Tyler Bonner	"\N"	"\N"
Her Name Was Christa	2020	James L. Edwards	1972	"\N"
Acute Misfortune	2018	Thomas M. Wright	1983	"\N"
The Angry Red Planet	1959	Ib Melchior	1917	2015
The Young Seducers	1971	Erwin C. Dietrich	1930	2018
Futurama: Bender's Big Score	2007	Matt Groening	1954	"\N"
The Mine	2012	Jeff Chamberlain	1954	2020
Backgammon	2015	Todd Niemi	"\N"	"\N"
The Confessions	2016	Angelo Pasquini	"\N"	"\N"
Dywizjon 303	2018	Tomasz Kepski	"\N"	"\N"
Man Camp	2019	Josh Long	1983	"\N"
Mad About Mambo	2000	John Forte	"\N"	"\N"
Heights	2005	Amy Fox	"\N"	"\N"
Camino	2008	Javier Fesser	1964	"\N"
Super Monsters Super Monsters : The New Class	0	Kaaren Lee Brown	"\N"	"\N"
Bhutto	2010	Johnny O'Hara	"\N"	"\N"
The Possession of Michael King	2014	Tedi Sarafian	1966	"\N"
Assassin 33 A.D.	2020	Jim Carroll	"\N"	"\N"
Climax	2018	Gaspar Noé	1963	"\N"
Wheels of Fortune	2020	John Ducey	1969	"\N"
Vedo nudo	1969	Fabio Carpi	1925	2018
Eyes Wide Shut	1999	Stanley Kubrick	1928	1999
A Guy Thing	2003	Bill Wrubel	"\N"	"\N"
Morning Show Mysteries Morning Show Mysteries: Death by Design	2019	Amber Benson	1977	"\N"
Mookuthi Amman	2020	RJ Balaji	1985	"\N"
A Lonely Place to Die	2011	Julian Gilbey	1975	"\N"
Fukushima 50	2020	Ryûshô Kadota	"\N"	"\N"
The Stranger Wore a Gun	1953	John W. Cunningham	1915	2002
Cantonen Iron Kung Foo	1979	Hsin Wei	"\N"	"\N"
Real Genius	1985	PJ Torokvei	1951	2013
Gods and Generals	2003	Jeff Shaara	1952	"\N"
A Tale of Two Sisters	2003	Jee-woon Kim	1964	"\N"
Cimarron	1960	Edna Ferber	1885	1968
The Gumball Rally	1976	Charles Bail	1935	2020
The Big Lebowski	1998	Joel Coen	1954	"\N"
Ladies Room	1999	Geneviève Lefebvre	1949	"\N"
Mowgli: Legend of the Jungle	2018	Callie Kloves	"\N"	"\N"
Three Christs	2017	Milton Rokeach	"\N"	"\N"
Untamed Woman	1957	Yôko Mizuki	1910	2003
The Tin Drum	1979	Günter Grass	1927	2015
First Blood	1982	William Sackheim	1919	2004
The Binding	2020	Domenico de Feudis	"\N"	"\N"
Mystery Team	2009	D.C. Pierson	"\N"	"\N"
The Twilight Saga: Eclipse	2010	Melissa Rosenberg	1962	"\N"
A Real Vermeer	2016	Rudolf van den Berg	1949	"\N"
Loving Vincent	2017	Jacek Dehnel	1980	"\N"
MFKZ	2017	Baljeet Rai	"\N"	"\N"
View from a Blue Moon	2015	Jay Tormohlen	"\N"	"\N"
The Academy of Magic	2020	Cindy Robinson	1973	"\N"
Knights of the Damned	2017	James Morelli-Green	"\N"	"\N"
Little Lord Fauntleroy	1936	Frances Hodgson Burnett	1849	1924
Intentions of Murder	1964	Keiji Hasebe	1914	"\N"
Der Turm der verbotenen Liebe	1968	Kurt Nachmann	1915	1984
Big Trouble in Little China	1986	David Z. Weinstein	"\N"	"\N"
Amanda & the Alien	1995	Robert Silverberg	1935	"\N"
Two Came Back	1997	Meg Noonan	"\N"	"\N"
Forsaken	2018	Mikhail Raskhodnikov	"\N"	"\N"
Paper Spiders	2020	Natalie Shampanier	"\N"	"\N"
Twist of Fate	1954	David Miller	1909	1992
Counterpoint	1967	Joel Oliansky	1935	2002
Buffalo Bill and the Indians, or Sitting Bull's History Lesson	1976	Robert Altman	1925	2006
Alison's Birthday	1981	Ian Coughlan	1946	2001
Heaven & Earth	1993	Jay Wurts	"\N"	"\N"
Rugrats in Paris	2000	J. David Stem	"\N"	"\N"
In Absentia	2000	Timothy Quay	1947	"\N"
The Undeserved	2004	Paul Sado	1978	"\N"
Asylum: Twisted Horror and Fantasy Tales	2020	Enrique Codesido	"\N"	"\N"
Yu-Gi-Oh!: The Dark Side of Dimensions	2016	Kazuki Takahashi	1961	2022
A Safe Place	1971	Henry Jaglom	1938	"\N"
Delirium	1979	Peter Maris	"\N"	"\N"
Pocahontas 2: Journey to a New World (1998) (V)	1998	Cindy Marcus	"\N"	"\N"
Executive Order	2020	Lusa Silvestre	"\N"	"\N"
Los Hijos de San Luis	2020	Antonio Jesús Rojas	"\N"	"\N"
The Queen of Spades	2016	Alexander Pushkin	1799	1837
1/2 New Year	2019	Georgia Menides	1975	"\N"
Drib	2017	Kristoffer Borgli	1985	"\N"
Monsters and Men	2018	Reinaldo Marcus Green	1981	"\N"
Mother	1925	Françoise Rosay	1891	1974
Danger: Diabolik	1968	Angela Giussani	1922	1987
Those Desperate Men Who Smell of Dirt and Death	1969	José Luis Martínez Mollá	"\N"	"\N"
Murders in the Rue Morgue	1971	Christopher Wicking	1943	2008
Lesson of a Dead Language	1979	Andrzej Kusniewicz	1904	1993
Fear City	1984	Nicholas St. John	"\N"	"\N"
Psycho IV: The Beginning	1990	Joseph Stefano	1922	2006
